카드 ID,카드명,카드 브랜드,체크/신용,이미지 URL,카드 디테일 링크,통합혜택,대분류태그,소분류태그
1,신한카드 Hi-Point,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/1/card_img/20083/1card.png,https://www.card-gorilla.com/card/detail/1,쇼핑 백화점 할인점 홈쇼핑 온라인몰 적립 모든가맹점 전국 가맹점 적립해외 주유 S OIL 에이치디현대오일뱅크 시 리터 당 원 금융 신한투자증권 CMA 결제계좌 추가 적립마이신한포인트 통신 SK텔레콤 KT LG U 이동통신요금 기타 무이자 영화 테마파크 포인트 적립상세 및 사용 안내,"['생활서비스', '소매/유통', '여가/오락']","['교통서비스', '취미/오락', '연료판매']"
2,신한카드 Love,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/2/card_img/20084/2card.png,https://www.card-gorilla.com/card/detail/2,백화점 국내 유명 할인점 온라인 쇼핑몰 최대 할인 패밀리레스토랑 커피 주유소 GS칼텍스 리터당 원 영화 CGV YES 예매시 적립 신한카드 Love포인트 및 사용 테마파크 주요 놀이공원 스포츠 서비스 경기관람 프로야구 프로농구 기타 통합할인한도,"['디저트', '공연/전시', '식사', '소매/유통', '생활서비스', '여가/오락']","['취미/오락', '연료판매', '휴게소/대형업체', '커피/음료', '경기관람']"
3,신한카드 Lady,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/3/card_img/20085/3card.png,https://www.card-gorilla.com/card/detail/3,쇼핑 대 백화점 롯데 신세계 현대 및 롯데마트 결제일 할인 푸드 국내 유명 패밀리 레스토랑 커피 최대 영화 맥스무비 인터파크 YES 예매시 원 주유소 S OIL 주유 시 리터 당 적립 교육 육아 베이비 프리미엄 제품 전문쇼핑몰 쁘띠엘린스토어 오프라인 매장 온라인몰 테마파크 주요 놀이공원 통신 이동통신요금 자동이체 SKT KT LGT 경기관람 스포츠 관람 서비스,"['디저트', '공연/전시', '소매/유통', '생활서비스', '여가/오락']","['취미/오락', '교통서비스', '연료판매', '커피/음료', '경기관람']"
4,SK에너지 신한카드The you,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/4/card_img/20086/4card.png,https://www.card-gorilla.com/card/detail/4,주유소 전국 SK주유소에서 주유 시 리터당 원 할인 대중교통 버스 지하철 택시 최고 무이자할부 대 백화점 롯데 현대 신세계 개월 무이자 할부 테마파크 주요 놀이공원 영화 맥스무비 인터파크 YES 헤어 경기관람 LG트윈스 정규시즌 홈경기 전석 본인 일 회 여행사 신한카드 여행전용사이트 여행서비스,"['공연/전시', '생활서비스', '소매/유통', '여가/오락']","['교통서비스', '경기관람', '취미/오락', '연료판매']"
5,GS칼텍스 신한카드Dream 100,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/5/card_img/20087/5card.png,https://www.card-gorilla.com/card/detail/5,주유소 전국 GS칼텍스 주유 시 리터당 원 할인 교통 버스 지하철 택시 최고 쇼핑 YES 등 쇼핑할인 영화 맥스무비 인터파크 예매시 레저 스포츠 주요 놀이공원 최대 및 서비스 여행 숙박 신한카드 여행전용사이트 여행서비스 뷰티 피트니스 미용업종 기타 우대 프리미엄 비자 플래티늄 제공,"['디저트', '생활서비스', '소매/유통', '여가/오락']","['취미/오락', '교통서비스', '연료판매', '숙박', '커피/음료']"
6,신한카드 Cube,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/6/card_img/20088/6card.png,https://www.card-gorilla.com/card/detail/6,선택형 Cube 선택서비스 개 할인 잔돈할인 유의사항 통합할인한도 및 안내,['생활서비스'],['전문서비스']
7,신한카드 23.5°,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/7/card_img/20089/7card.png,https://www.card-gorilla.com/card/detail/7,적립 생활 친화 가맹점 포인트 개월 연속 이용 추가 대중교통 버스 지하철 후불 교통 금액 일 원 할인 영화 CGV 예매 최대 천원 결제일 카페 스타벅스 음료 테마파크 주요 놀이공원 프리미엄 신한카드 gallery S 서비스S 브랜드 특화 서비스,"['디저트', '생활서비스', '식사', '여가/오락']","['취미/오락', '커피/음료', '제과/제빵/떡/케익', '교통서비스']"
8,신한카드 The CLASSIC-Y,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/8/card_img/20090/8card.png,https://www.card-gorilla.com/card/detail/8,선택형 Gift Option Service 매년 회 옵션 품목 중 한 가지를 선택하여 이용 모든가맹점 일시불 할부 이용금액의 마이신한포인트 적립해외 명품 아울렛 신세계 롯데 면세점 골프 업종 시 적립 주유소 GS칼텍스 주유 리터당 원 결제일 할인 생활 커피 제과 택시 화장품 영화 제주 JDC 진에어 국제선 항공권 공연 전시 오디오 가이드 및 오페라 글라스 무료 서비스 프리미엄 국제브랜드사 공통사항 안내,"['디저트', '공연/전시', '생활서비스', '소매/유통']","['화장품소매', '교통서비스', '연료판매', '전시장', '제과/제빵/떡/케익', '공연관람', '커피/음료']"
9,신한카드 아이행복,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/9/card_img/20091/9card.png,https://www.card-gorilla.com/card/detail/9,유의사항 아이행복카드 국민행복카드로 통합 아이행복 보건복지부 아이사랑카드 보육료지원 교육부 아이즐거운카드 유아학비 지윈 통합카드 병원 약국 결제일 할인 대형마트 및 온라인몰 통신 SK텔레콤 KT LG U 이동통신 자동이체요금 공과금 도시가스 테마파크 주요 놀이공원 서비스 금융 신한금융 혜택 기타 통합할인한도,"['의료/건강', '생활서비스', '소매/유통', '여가/오락']","['취미/오락', '일반병원']"
10,신한카드 B.Big(삑),신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/10/card_img/24226/10card.png,https://www.card-gorilla.com/card/detail/10,대중교통 버스 지하철 후불 교통 이용 금액 일 원 할인 택시 KTX 백화점 대 카페 커피전문점 편의점 통신 이동통신요금 영화 CGV 메가박스 캐시백 전기요금 통신요금 해외이용금액 제공,"['디저트', '식사', '소매/유통', '생활서비스', '여가/오락']","['커피/음료', '음/식료품소매', '제과/제빵/떡/케익', '교통서비스']"
11,신한카드 Simple+,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/11/card_img/32203/11card.png,https://www.card-gorilla.com/card/detail/11,모든가맹점 전가맹점 캐시백 이동통신요금 자동이체 건 추가 생활 생활친화가맹점 잔돈할인 서비스 Coin Save 영화 온라인 예매 할인,"['생활서비스', '여가/오락']",['교통서비스']
12,신한카드 Air Platinum#,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/12/card_img/20094/12card.png,https://www.card-gorilla.com/card/detail/12,항공마일리지 대한항공 원당 마일 아시아나항공 생활 마이신한포인트 추가 적립 프리미엄 특급 호텔 발렛파킹 면세점 우대 서비스,"['생활서비스', '여가/오락']",['숙박']
13,신한카드 Mr.Life,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/13/card_img/28201/13card.png,https://www.card-gorilla.com/card/detail/13,공과금 월납요금 할인서비스 편의점 할인 병원 약국 약국업종 생활 세탁소 업종 온라인쇼핑 온라인 쇼핑 택시 푸드 식음료 대형마트 대 마트 주유소 정유사 리터당 원 인테이크몰,"['전자상거래', '의료/건강', '디저트', '소매/유통', '생활서비스']","['음/식료품소매', '교통서비스', '연료판매', '세탁/가사서비스', '인터넷쇼핑', '일반병원', '커피/음료']"
14,신한카드 YOLO ⓘ,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/14/card_img/20096/14card.png,https://www.card-gorilla.com/card/detail/14,선택형 할인율 선택 서비스 카페 스타벅스 커피빈 편의점 GS 세븐일레븐 CU 소셜커머스 택시 베이커리 파리바게트 뚜레쥬르 영화 CGV 롯데시네마 모바일쿠폰 보너스 리워드,"['전자상거래', '디저트', '식사', '소매/유통', '생활서비스', '여가/오락']","['커피/음료', '음/식료품소매', '제과/제빵/떡/케익', '교통서비스']"
15,신한카드 The CLASSIC+,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/15/card_img/20097/15card.png,https://www.card-gorilla.com/card/detail/15,바우처 Gift Option 항공마일리지 항공 마일리지 적립 서비스 면세점 제주 JDC 결제일 할인 공항라운지 더라운지 주유소 GS칼텍스 주유 시 리터당 원 카페 스타벅스,"['디저트', '생활서비스', '식사']","['제과/제빵/떡/케익', '연료판매']"
16,신한카드 RPM+ Platinum#,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/16/card_img/28929/16card.png,https://www.card-gorilla.com/card/detail/16,주유 모든 주유소 리터당 포인트 충전소 적립 쇼핑 특별적립 마트 편의점 택시 정비 모든가맹점 국내 외 가맹점 프리미엄 Platinum 서비스,"['생활서비스', '소매/유통']","['교통서비스', '음/식료품소매', '연료판매', '수리서비스']"
17,신한카드 YOLO Tasty,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/17/card_img/20099/17card.png,https://www.card-gorilla.com/card/detail/17,쇼핑 쇼핑업종 결제일 할인 푸드 외식업종 영화 CGV 예매시 천원 패스트푸드 KFC 카페 디저트 커피 베이커리 업종 택시,"['디저트', '생활서비스', '식사', '여가/오락']","['교통서비스', '제과/제빵/떡/케익', '한식', '패스트푸드', '커피/음료']"
18,신한카드 Shopping,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/18/card_img/20100/18card.png,https://www.card-gorilla.com/card/detail/18,쇼핑 할인 오프라인 백화점 프리미엄 아울렛 마트 창고형 할인매장 온라인 홈쇼핑 소셜커머스 생활 커피전문점 잡화 온라인서점 주유 원 L 해외 해외이용 캐시백 해외이용금액 푸드 제휴 마켓컬리 프레딧 집반찬연구소 할인서비스,"['디저트', '전자상거래', '생활서비스', '소매/유통']","['연료판매', '패션잡화', '제과/제빵/떡/케익', '인터넷쇼핑', '커피/음료']"
19,신한카드 O2O,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/19/card_img/20101/19card.png,https://www.card-gorilla.com/card/detail/19,간편결제 온 오프라인 Pay 결제일 할인 통신 이동통신요금 자동이체 시 카페 스타벅스 사이렌 오더 결제 최대 천원 생활 카카오택시 마켓컬리 포잉 등,"['디저트', '전자상거래', '생활서비스', '식사']","['인터넷쇼핑', '제과/제빵/떡/케익', '교통서비스']"
